route_id,route_name
0100000A00,0東 
0100000B00,0南 
463009400,石碇高中-捷運忠孝復興站 
463009600,合宜住宅-捷運亞東醫院站 
463001600,林口(文化三路)-捷運圓山站 
463008200,林口(文化北路)-捷運圓山站 
463000800,林口-內湖科技園區 
463001300,林口-板橋 
463005000,林口-捷運府中站 
463007300,林口-捷運忠孝敦化站 
463000500,林口-捷運圓山站 
463007200,林口-臺北車站(承德) 
463003200,林口-臺北長庚醫院 
463008700,政大附中-捷運景美站 
463001000,泰山-內湖 
463006100,泰山-內湖(直達) 
463007400,捷運七張站-全球工業區 
463008600,捷運中和站-政大附中 
463009200,捷運忠孝復興站-三峽 
463008000,捷運頂溪站-捷運頂埔站 
463003300,捷運景安站-三峽臺北大學 
463009000,捷運新店站-坪林 
463003400,捷運蘆洲站-內湖科技園區 
463001100,淡水-內湖科技園區 
463001800,淡水新市鎮-板橋 
463006800,湯泉-十四張-大坪林 
463003900,湯泉-大坪林-湯泉 
463006300,湯泉-崇光中學 
463006700,新店(綠中海)-捷運新店站 
463003500,新店北新路-政大一街 
463000900,新店-汐止 
463002000,新店高中-三峽 
463008900,瑞芳(經東碇路)-松山車站 
463002500,瑞芳-內科(北客) 
463002900,瑞芳-內科(基客) 
463002300,瑞芳-松山車站(北客) 
463002400,瑞芳-松山車站(基客) 
463008400,瑞芳-南港 
463005500,萬里-內湖科技園區 
463004400,樹林後火車站-海洋公園 
152005400,雙園巴士 
463007000,蘆洲-中正高中 
463004900,蘆洲中正路-士林中正路 
463006400,蘆洲-內湖 
463005700,蘆洲-南港 
463001400,鶯歌火車站-中正紀念堂 
463001500,鶯歌火車站-松山機場 
400017700,177瑞芳觀光公車 
162003400,臺北觀光巴士紅線 
162003500,臺北觀光巴士藍線 
100023250,232快 
100060550,605快 
100090200,902
100090220,902區 
100090300,903
100090500,905
100090510,905副 
400090600,906
100090700,907
100090790,907通勤 
400090800,908
400090870,908延 
400090900,909
400091000,910
100091200,912
400091300,913
100091500,915
400091600,916
400091700,917
400091800,918
400091900,919
400092000,920
400092010,920副 
400092080,920A 
400092100,921
400092200,922
400092300,923
400092500,925
400092580,925A 
400092700,927
400092790,927經台北港 
400092800,928
400093000,930
400093070,930延 
400093200,932
400093270,932繞國家教育研究院 
400093300,933
400093500,935
400093600,936
400093680,936A 
400093700,937
400093710,937副 
400093780,937A 
400093800,938
400093900,939
400093910,939副 
400094000,940
400094100,941
400094300,943
400094500,945
400094600,946
400094610,946副 
400094700,947
400094800,948
100094900,949
100095000,950
400095100,951
400095200,952
400095300,953
400095320,953區 
100095500,955
100095700,957
400096300,963
400096500,965(台灣好行-九份金瓜石線) 
400096600,966
400096610,966副 
400096680,966A 
400096700,967
400096710,967副 
400096730,967直 
162000400,景美-榮總(快) 
100003940,39夜 
100021240,212夜 
100026540,265夜 
171002000,花季專車124 
171002500,花季專車131 
471001600,新九號停車場-九份老街 
471001700,新九號停車場-水湳洞停車場 
471002000,新九號停車場-黃金博物館 
